Date, AQI Value,Main Pollutant,Site Name,Site ID,Source
01/01/1980,44.0,CO,,26-163-0021,AQS
01/02/1980,48.0,CO,,26-147-0003,AQS
01/03/1980,59.0,CO,,26-147-0003,AQS
01/04/1980,48.0,CO,,26-147-0003,AQS
01/05/1980,44.0,CO,,26-147-0003,AQS
01/06/1980,72.0,CO,Allen Park,26-163-0001,AQS
01/07/1980,61.0,NO2,,26-163-0020,AQS
01/08/1980,45.0,NO2,,26-163-0020,AQS
01/09/1980,44.0,CO,,26-147-0003,AQS
01/10/1980,68.0,CO,,26-163-0021,AQS
01/11/1980,64.0,CO,,26-147-0003,AQS
01/12/1980,49.0,CO,,26-147-0003,AQS
01/13/1980,42.0,NO2,,26-163-0016,AQS
01/14/1980,61.0,NO2,,26-163-0020,AQS
01/15/1980,74.0,CO,,26-163-0021,AQS
01/16/1980,74.0,CO,,26-163-0021,AQS
01/17/1980,54.0,CO,,26-163-0021,AQS
01/18/1980,25.0,CO,,26-125-1002,AQS
01/19/1980,35.0,NO2,,26-163-0020,AQS
01/20/1980,36.0,NO2,,26-163-0020,AQS
01/21/1980,39.0,NO2,,26-163-0020,AQS
01/22/1980,35.0,NO2,,26-163-0020,AQS
01/23/1980,42.0,NO2,,26-163-0020,AQS
01/24/1980,79.0,CO,,26-163-0021,AQS
01/25/1980,50.0,CO,,26-163-0021,AQS
01/26/1980,47.0,NO2,,26-163-0020,AQS
01/27/1980,73.0,CO,WARREN - FIRE STATION 29900 HOOVER AT COMMON,26-099-1003,AQS
01/28/1980,38.0,NO2,,26-163-0020,AQS
01/29/1980,60.0,NO2,,26-163-0020,AQS
01/30/1980,42.0,NO2,,26-163-0020,AQS
01/31/1980,35.0,NO2,,26-163-0020,AQS
02/01/1980,44.0,NO2,,26-163-0020,AQS
02/02/1980,45.0,NO2,,26-163-0020,AQS
02/03/1980,49.0,CO,WARREN - FIRE STATION 29900 HOOVER AT COMMON,26-099-1003,AQS
02/04/1980,54.0,NO2,,26-163-0020,AQS
02/05/1980,188.0,CO,WARREN - FIRE STATION 29900 HOOVER AT COMMON,26-099-1003,AQS
02/06/1980,42.0,NO2,,26-147-0904,AQS
02/07/1980,56.0,CO,,26-163-0021,AQS
02/08/1980,80.0,CO,,26-163-0021,AQS
02/09/1980,51.0,CO,,26-163-0021,AQS
02/10/1980,39.0,NO2,,26-163-0020,AQS
02/11/1980,54.0,NO2,,26-163-0020,AQS
02/12/1980,61.0,NO2,,26-163-0020,AQS
02/13/1980,61.0,NO2,,26-163-0020,AQS
02/14/1980,54.0,NO2,,26-163-0020,AQS
02/15/1980,60.0,NO2,,26-163-0020,AQS
02/16/1980,47.0,Ozone,,26-163-0016,AQS
02/17/1980,79.0,NO2,,26-163-0020,AQS
02/18/1980,70.0,NO2,,26-163-0020,AQS
02/19/1980,67.0,NO2,,26-163-0020,AQS
02/20/1980,55.0,CO,,26-163-0021,AQS
02/21/1980,43.0,CO,WARREN - FIRE STATION 29900 HOOVER AT COMMON,26-099-1003,AQS
02/22/1980,41.0,NO2,,26-163-0020,AQS
02/23/1980,40.0,CO,,26-163-0021,AQS
02/24/1980,51.0,NO2,,26-163-0020,AQS
02/25/1980,32.0,Ozone,East 7 Mile,26-163-0019,AQS
02/26/1980,30.0,Ozone,East 7 Mile,26-163-0019,AQS
02/27/1980,33.0,CO,WARREN - FIRE STATION 29900 HOOVER AT COMMON,26-099-1003,AQS
02/28/1980,31.0,Ozone,East 7 Mile,26-163-0019,AQS
02/29/1980,32.0,Ozone,East 7 Mile,26-163-0019,AQS
03/01/1980,32.0,Ozone,East 7 Mile,26-163-0019,AQS
03/02/1980,33.0,Ozone,East 7 Mile,26-163-0019,AQS
03/03/1980,41.0,CO,,26-163-2002,AQS
03/04/1980,36.0,NO2,,26-147-0905,AQS
03/05/1980,43.0,CO,,26-163-0021,AQS
03/06/1980,37.0,NO2,,26-147-0905,AQS
03/07/1980,76.0,CO,WARREN - FIRE STATION 29900 HOOVER AT COMMON,26-099-1003,AQS
03/08/1980,52.0,NO2,,26-163-0020,AQS
03/09/1980,88.0,NO2,,26-163-0020,AQS
03/10/1980,58.0,NO2,,26-163-0020,AQS
03/11/1980,40.0,Ozone,East 7 Mile,26-163-0019,AQS
03/12/1980,43.0,Ozone,East 7 Mile,26-163-0019,AQS
03/13/1980,60.0,CO,,26-163-0021,AQS
03/14/1980,64.0,Ozone,,26-163-0016,AQS
03/15/1980,47.0,NO2,,26-163-0020,AQS
03/16/1980,41.0,Ozone,East 7 Mile,26-163-0019,AQS
03/17/1980,42.0,NO2,,26-163-0020,AQS
03/18/1980,57.0,NO2,,26-163-0020,AQS
03/19/1980,49.0,NO2,,26-163-0020,AQS
03/20/1980,51.0,NO2,,26-163-0020,AQS
03/21/1980,37.0,NO2,,26-163-0020,AQS
03/22/1980,46.0,Ozone,East 7 Mile,26-163-0019,AQS
03/23/1980,40.0,CO,,26-163-0021,AQS
03/24/1980,51.0,NO2,,26-163-0020,AQS
03/25/1980,50.0,NO2,,26-163-0020,AQS
03/26/1980,68.0,CO,,26-163-0021,AQS
03/27/1980,62.0,NO2,,26-163-0020,AQS
03/28/1980,60.0,NO2,,26-163-0020,AQS
03/29/1980,42.0,NO2,,26-163-0020,AQS
03/30/1980,58.0,Ozone,East 7 Mile,26-163-0019,AQS
03/31/1980,45.0,NO2,,26-163-0020,AQS
04/01/1980,81.0,CO,,26-163-0021,AQS
04/02/1980,90.0,Ozone,,26-163-0016,AQS
04/03/1980,102.0,NO2,,26-163-0016,AQS
04/04/1980,86.0,NO2,,26-163-0016,AQS
04/05/1980,102.0,NO2,,26-163-0016,AQS
04/06/1980,104.0,NO2,,26-163-0016,AQS
04/07/1980,103.0,NO2,,26-163-0016,AQS
04/08/1980,81.0,NO2,,26-163-0016,AQS
04/09/1980,65.0,NO2,,26-163-0016,AQS
04/10/1980,70.0,NO2,,26-163-0016,AQS
04/11/1980,94.0,NO2,,26-163-0016,AQS
04/12/1980,69.0,NO2,,26-163-0016,AQS
04/13/1980,49.0,NO2,,26-163-0016,AQS
04/14/1980,65.0,NO2,,26-163-0016,AQS
04/15/1980,51.0,NO2,,26-163-0016,AQS
04/16/1980,71.0,Ozone,East 7 Mile,26-163-0019,AQS
04/17/1980,107.0,NO2,,26-163-0016,AQS
04/18/1980,164.0,Ozone,East 7 Mile,26-163-0019,AQS
04/19/1980,182.0,Ozone,East 7 Mile,26-163-0019,AQS
04/20/1980,133.0,Ozone,Allen Park,26-163-0001,AQS
04/21/1980,111.0,NO2,,26-163-0016,AQS
04/22/1980,187.0,Ozone,East 7 Mile,26-163-0019,AQS
04/23/1980,78.0,NO2,,26-163-0016,AQS
04/24/1980,93.0,Ozone,East 7 Mile,26-163-0019,AQS
04/25/1980,103.0,NO2,,26-163-0016,AQS
04/26/1980,96.0,NO2,,26-163-0016,AQS
04/27/1980,50.0,NO2,,26-163-0016,AQS
04/28/1980,80.0,NO2,,26-163-0016,AQS
04/29/1980,110.0,NO2,,26-163-0016,AQS
04/30/1980,105.0,NO2,,26-163-0016,AQS
05/01/1980,86.0,NO2,,26-163-0020,AQS
05/02/1980,112.0,Ozone,East 7 Mile,26-163-0019,AQS
05/03/1980,71.0,Ozone,,26-163-2002,AQS
05/04/1980,68.0,NO2,,26-163-0016,AQS
05/05/1980,105.0,Ozone,,26-163-0016,AQS
05/06/1980,65.0,NO2,,26-163-0020,AQS
05/07/1980,39.0,Ozone,Allen Park,26-163-0001,AQS
05/08/1980,41.0,NO2,,26-163-0020,AQS
05/09/1980,51.0,NO2,,26-163-0016,AQS
05/10/1980,74.0,Ozone,,26-125-0902,AQS
05/11/1980,54.0,Ozone,,26-125-0902,AQS
05/12/1980,84.0,Ozone,,26-163-2002,AQS
05/13/1980,79.0,NO2,,26-163-0016,AQS
