Date, AQI Value,Main Pollutant,Site Name,Site ID,Source
1/1/80,44.0,CO,,26-163-0021,AQS
1/2/80,48.0,CO,,26-147-0003,AQS
1/3/80,59.0,CO,,26-147-0003,AQS
1/4/80,48.0,CO,,26-147-0003,AQS
1/5/80,44.0,CO,,26-147-0003,AQS
1/6/80,72.0,CO,Allen Park,26-163-0001,AQS
1/7/80,61.0,NO2,,26-163-0020,AQS
1/8/80,45.0,NO2,,26-163-0020,AQS
1/9/80,44.0,CO,,26-147-0003,AQS
1/10/80,68.0,CO,,26-163-0021,AQS
1/11/80,64.0,CO,,26-147-0003,AQS
1/12/80,49.0,CO,,26-147-0003,AQS
1/13/80,42.0,NO2,,26-163-0016,AQS
1/14/80,61.0,NO2,,26-163-0020,AQS
1/15/80,74.0,CO,,26-163-0021,AQS
1/16/80,74.0,CO,,26-163-0021,AQS
1/17/80,54.0,CO,,26-163-0021,AQS
1/18/80,25.0,CO,,26-125-1002,AQS
1/19/80,35.0,NO2,,26-163-0020,AQS
1/20/80,36.0,NO2,,26-163-0020,AQS
1/21/80,39.0,NO2,,26-163-0020,AQS
1/22/80,35.0,NO2,,26-163-0020,AQS
1/23/80,42.0,NO2,,26-163-0020,AQS
1/24/80,79.0,CO,,26-163-0021,AQS
1/25/80,50.0,CO,,26-163-0021,AQS
1/26/80,47.0,NO2,,26-163-0020,AQS
1/27/80,73.0,CO,WARREN - FIRE STATION 29900 HOOVER AT COMMON,26-099-1003,AQS
1/28/80,38.0,NO2,,26-163-0020,AQS
1/29/80,60.0,NO2,,26-163-0020,AQS
1/30/80,42.0,NO2,,26-163-0020,AQS
1/31/80,35.0,NO2,,26-163-0020,AQS
2/1/80,44.0,NO2,,26-163-0020,AQS
2/2/80,45.0,NO2,,26-163-0020,AQS
2/3/80,49.0,CO,WARREN - FIRE STATION 29900 HOOVER AT COMMON,26-099-1003,AQS
2/4/80,54.0,NO2,,26-163-0020,AQS
2/5/80,188.0,CO,WARREN - FIRE STATION 29900 HOOVER AT COMMON,26-099-1003,AQS
2/6/80,42.0,NO2,,26-147-0904,AQS
2/7/80,56.0,CO,,26-163-0021,AQS
2/8/80,80.0,CO,,26-163-0021,AQS
2/9/80,51.0,CO,,26-163-0021,AQS
2/10/80,39.0,NO2,,26-163-0020,AQS
2/11/80,54.0,NO2,,26-163-0020,AQS
2/12/80,61.0,NO2,,26-163-0020,AQS
2/13/80,61.0,NO2,,26-163-0020,AQS
2/14/80,54.0,NO2,,26-163-0020,AQS
2/15/80,60.0,NO2,,26-163-0020,AQS
2/16/80,47.0,Ozone,,26-163-0016,AQS
2/17/80,79.0,NO2,,26-163-0020,AQS
2/18/80,70.0,NO2,,26-163-0020,AQS
