Date,PM2.5AQI Value,Main Pollutant,Site Name,Site ID,Source
1/1/00,91,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
1/2/00,89,,,26-163-0016,AQS
1/3/00,58,,,26-163-0016,AQS
1/4/00,37,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
1/5/00,38,,,26-163-0016,AQS
1/6/00,66,,,26-163-0016,AQS
1/7/00,68,,92 FEET FROM WHE STREET,26-163-0036,AQS
1/8/00,80,,,26-163-0016,AQS
1/9/00,82,,,26-163-0016,AQS
1/10/00,85,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
1/11/00,35,,Allen Park,26-163-0001,AQS
1/12/00,60,,Allen Park,26-163-0001,AQS
1/13/00,35,,Southwestern H.S.,26-163-0015,AQS
1/14/00,51,,Allen Park,26-163-0001,AQS
1/15/00,73,,,26-163-0016,AQS
1/16/00,41,,,26-163-0016,AQS
1/17/00,21,,,26-163-0016,AQS
1/18/00,67,,,26-163-0016,AQS
1/19/00,67,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
1/20/00,58,,Allen Park,26-163-0001,AQS
1/21/00,61,,Allen Park,26-163-0001,AQS
1/22/00,78,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
1/23/00,71,,,26-163-0016,AQS
1/24/00,74,,,26-163-0016,AQS
1/25/00,110,,Southwestern H.S.,26-163-0015,AQS
1/26/00,30,,Allen Park,26-163-0001,AQS
1/27/00,42,,Allen Park,26-163-0001,AQS
1/28/00,68,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
1/29/00,96,,Allen Park,26-163-0001,AQS
1/30/00,82,,,26-163-0016,AQS
1/31/00,116,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
2/1/00,57,,Allen Park,26-163-0001,AQS
2/2/00,63,,Allen Park,26-163-0001,AQS
2/3/00,113,,,26-163-0016,AQS
2/4/00,76,,,26-163-0016,AQS
2/5/00,51,,,26-163-0016,AQS
2/6/00,80,,92 FEET FROM WHE STREET,26-163-0036,AQS
2/7/00,70,,Allen Park,26-163-0001,AQS
2/8/00,70,,,26-163-0016,AQS
2/9/00,136,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
2/10/00,116,,Allen Park,26-163-0001,AQS
2/11/00,50,,Allen Park,26-163-0001,AQS
2/12/00,62,,Port Huron,26-147-0005,AQS
2/13/00,74,,,26-163-0016,AQS
2/14/00,62,,Allen Park,26-163-0001,AQS
2/15/00,88,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
2/16/00,57,,,26-163-0016,AQS
2/17/00,33,,,26-163-0016,AQS
2/18/00,67,,Southwestern H.S.,26-163-0015,AQS
2/19/00,49,,Allen Park,26-163-0001,AQS
2/20/00,72,,,26-163-0016,AQS
2/21/00,111,,Southwestern H.S.,26-163-0015,AQS
2/22/00,80,,,26-163-0016,AQS
2/23/00,87,,,26-163-0016,AQS
2/24/00,97,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
2/25/00,77,,Allen Park,26-163-0001,AQS
2/26/00,64,,Allen Park,26-163-0001,AQS
2/27/00,48,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
2/28/00,64,,Allen Park,26-163-0001,AQS
2/29/00,49,,,26-163-0016,AQS
3/1/00,53,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
3/3/00,60,,Allen Park,26-163-0001,AQS
3/4/00,69,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
3/5/00,62,,Allen Park,26-163-0001,AQS
3/6/00,42,,,26-163-0016,AQS
3/7/00,93,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
3/8/00,73,,Allen Park,26-163-0001,AQS
3/9/00,51,,Allen Park,26-163-0001,AQS
3/10/00,30,,Southwestern H.S.,26-163-0015,AQS
3/11/00,43,,Allen Park,26-163-0001,AQS
3/12/00,57,,,26-163-0016,AQS
3/13/00,75,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
3/14/00,77,,,26-163-0016,AQS
3/15/00,84,,,26-163-0016,AQS
3/16/00,32,,Southwestern H.S.,26-163-0015,AQS
3/17/00,30,,,26-163-0016,AQS
3/18/00,27,,,26-163-0016,AQS
3/19/00,57,,,26-163-0016,AQS
3/20/00,62,,,26-163-0016,AQS
3/21/00,75,,,26-163-0016,AQS
3/22/00,131,,Southwestern H.S.,26-163-0015,AQS
3/23/00,114,,,26-163-0016,AQS
3/24/00,86,,,26-163-0016,AQS
3/25/00,66,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
3/26/00,23,,,26-163-0016,AQS
3/27/00,34,,,26-163-0016,AQS
3/28/00,60,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
3/29/00,21,,,26-163-0016,AQS
3/30/00,23,,Allen Park,26-163-0001,AQS
3/31/00,50,,Southwestern H.S.,26-163-0015,AQS
4/1/00,63,,Allen Park,26-163-0001,AQS
4/2/00,92,,,26-163-0016,AQS
4/3/00,136,,,26-163-0016,AQS
4/4/00,24,,Allen Park,26-163-0001,AQS
4/5/00,31,,,26-163-0016,AQS
4/6/00,47,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
4/7/00,41,,,26-163-0016,AQS
4/8/00,17,,,26-163-0016,AQS
4/9/00,52,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
4/10/00,26,,,26-163-0016,AQS
4/11/00,52,,,26-163-0016,AQS
4/12/00,68,,,26-163-0016,AQS
4/13/00,63,,Allen Park,26-163-0001,AQS
4/14/00,66,,,26-163-0016,AQS
4/15/00,87,,Southwestern H.S.,26-163-0015,AQS
4/16/00,55,,Allen Park,26-163-0001,AQS
4/17/00,58,,Allen Park,26-163-0001,AQS
4/18/00,93,,Southwestern H.S.,26-163-0015,AQS
4/19/00,86,,Allen Park,26-163-0001,AQS
4/20/00,75,,Allen Park,26-163-0001,AQS
4/21/00,29,,Port Huron,26-147-0005,AQS
4/22/00,27,,,26-163-0016,AQS
4/23/00,56,,Allen Park,26-163-0001,AQS
4/24/00,34,,Allen Park,26-163-0001,AQS
4/25/00,30,,Allen Park,26-163-0001,AQS
4/26/00,53,,Allen Park,26-163-0001,AQS
4/27/00,57,,Southwestern H.S.,26-163-0015,AQS
4/28/00,66,,,26-163-0016,AQS
4/29/00,55,,Allen Park,26-163-0001,AQS
4/30/00,37,,Port Huron,26-147-0005,AQS
5/1/00,65,,Allen Park,26-163-0001,AQS
5/2/00,65,,Allen Park,26-163-0001,AQS
5/3/00,59,,Port Huron,26-147-0005,AQS
5/4/00,59,,,26-163-0016,AQS
5/5/00,67,,Allen Park,26-163-0001,AQS
5/6/00,120,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
5/7/00,57,,,26-163-0016,AQS
5/8/00,77,,,26-163-0016,AQS
5/9/00,69,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
5/10/00,19,,Allen Park,26-163-0001,AQS
5/11/00,49,,,26-163-0016,AQS
5/12/00,106,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
5/13/00,30,,,26-163-0016,AQS
5/14/00,20,,Allen Park,26-163-0001,AQS
5/15/00,42,,Southwestern H.S.,26-163-0015,AQS
5/16/00,57,,,26-163-0016,AQS
5/17/00,70,,Allen Park,26-163-0001,AQS
5/18/00,70,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
5/19/00,27,,,26-163-0016,AQS
5/20/00,39,,Allen Park,26-163-0001,AQS
5/21/00,70,,Port Huron,26-147-0005,AQS
5/22/00,64,,,26-163-0016,AQS
5/23/00,58,,,26-163-0016,AQS
5/24/00,43,,92 FEET FROM WHE STREET,26-163-0036,AQS
5/25/00,24,,Allen Park,26-163-0001,AQS
5/26/00,38,,Allen Park,26-163-0001,AQS
5/27/00,40,,Allen Park,26-163-0001,AQS
5/28/00,35,,Allen Park,26-163-0001,AQS
5/29/00,42,,Allen Park,26-163-0001,AQS
5/30/00,67,,Southwestern H.S.,26-163-0015,AQS
6/1/00,128,,Allen Park,26-163-0001,AQS
6/2/00,62,,92 FEET FROM WHE STREET,26-163-0036,AQS
6/3/00,36,,Allen Park,26-163-0001,AQS
6/4/00,55,,Allen Park,26-163-0001,AQS
6/5/00,36,,Allen Park,26-163-0001,AQS
6/6/00,30,,Allen Park,26-163-0001,AQS
6/7/00,47,,Allen Park,26-163-0001,AQS
6/8/00,90,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
6/9/00,69,,Allen Park,26-163-0001,AQS
6/10/00,78,,Allen Park,26-163-0001,AQS
6/11/00,76,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
6/12/00,54,,Allen Park,26-163-0001,AQS
6/13/00,65,,,26-163-0016,AQS
6/14/00,84,,Southwestern H.S.,26-163-0015,AQS
6/15/00,36,,,26-163-0016,AQS
6/16/00,54,,,26-163-0016,AQS
6/17/00,38,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
6/18/00,27,,Allen Park,26-163-0001,AQS
6/19/00,52,,,26-163-0016,AQS
6/20/00,79,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
6/21/00,37,,,26-163-0016,AQS
6/22/00,31,,,26-163-0016,AQS
6/23/00,54,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
6/24/00,59,,,26-163-0016,AQS
6/25/00,59,,Allen Park,26-163-0001,AQS
6/26/00,73,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
6/28/00,33,,Allen Park,26-163-0001,AQS
6/29/00,48,,Oak Park,26-125-0001,AQS
6/30/00,42,,Allen Park,26-163-0001,AQS
7/1/00,59,,,26-163-0016,AQS
7/2/00,130,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
7/3/00,59,,Allen Park,26-163-0001,AQS
7/4/00,80,,Allen Park,26-163-0001,AQS
7/5/00,75,,Oak Park,26-125-0001,AQS
7/6/00,35,,Allen Park,26-163-0001,AQS
7/7/00,38,,Allen Park,26-163-0001,AQS
7/8/00,44,,East 7 Mile,26-163-0019,AQS
7/9/00,79,,,26-163-0016,AQS
7/10/00,54,,Allen Park,26-163-0001,AQS
7/11/00,34,,Southwestern H.S.,26-163-0015,AQS
7/12/00,33,,Allen Park,26-163-0001,AQS
7/13/00,63,,,26-163-0016,AQS
7/14/00,63,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
7/15/00,33,,,26-163-0016,AQS
7/16/00,50,,Allen Park,26-163-0001,AQS
7/17/00,91,,Southwestern H.S.,26-163-0015,AQS
7/18/00,24,,Allen Park,26-163-0001,AQS
7/19/00,38,,Allen Park,26-163-0001,AQS
7/20/00,54,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
7/21/00,32,,Allen Park,26-163-0001,AQS
7/22/00,26,,Allen Park,26-163-0001,AQS
7/23/00,34,,Allen Park,26-163-0001,AQS
7/24/00,37,,Allen Park,26-163-0001,AQS
7/25/00,70,,Allen Park,26-163-0001,AQS
7/26/00,90,,Port Huron,26-147-0005,AQS
7/27/00,89,,Allen Park,26-163-0001,AQS
7/28/00,92,,Allen Park,26-163-0001,AQS
7/29/00,76,,New Haven,26-099-0009,AQS
7/30/00,57,,Allen Park,26-163-0001,AQS
7/31/00,67,,Allen Park,26-163-0001,AQS
8/1/00,73,,92 FEET FROM WHE STREET,26-163-0036,AQS
8/2/00,60,,,26-163-0016,AQS
8/3/00,23,,Allen Park,26-163-0001,AQS
8/4/00,54,,92 FEET FROM WHE STREET,26-163-0036,AQS
8/5/00,59,,,26-163-0016,AQS
8/6/00,74,,,26-163-0016,AQS
8/7/00,71,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
8/8/00,55,,,26-163-0016,AQS
8/9/00,54,,,26-163-0016,AQS
8/10/00,44,,New Haven,26-099-0009,AQS
8/11/00,55,,Allen Park,26-163-0001,AQS
8/12/00,35,,Allen Park,26-163-0001,AQS
8/13/00,61,,Southwestern H.S.,26-163-0015,AQS
8/14/00,68,,Allen Park,26-163-0001,AQS
8/15/00,98,,,26-163-0016,AQS
8/16/00,36,,East 7 Mile,26-163-0019,AQS
8/17/00,27,,,26-163-0016,AQS
8/18/00,40,,Allen Park,26-163-0001,AQS
8/19/00,21,,Southwestern H.S.,26-163-0015,AQS
8/20/00,28,,Allen Park,26-163-0001,AQS
8/21/00,34,,Allen Park,26-163-0001,AQS
8/22/00,89,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
8/23/00,54,,Allen Park,26-163-0001,AQS
8/24/00,65,,,26-163-0016,AQS
8/25/00,64,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
8/26/00,73,,,26-163-0016,AQS
8/27/00,75,,,26-163-0016,AQS
8/28/00,90,,Allen Park,26-163-0001,AQS
8/29/00,107,,Allen Park,26-163-0001,AQS
8/30/00,89,,Allen Park,26-163-0001,AQS
8/31/00,76,,Port Huron,26-147-0005,AQS
9/1/00,83,,Allen Park,26-163-0001,AQS
9/2/00,82,,Allen Park,26-163-0001,AQS
9/3/00,88,,92 FEET FROM WHE STREET,26-163-0036,AQS
9/4/00,22,,Allen Park,26-163-0001,AQS
9/5/00,19,,,26-163-0016,AQS
9/6/00,44,,Port Huron,26-147-0005,AQS
9/7/00,63,,,26-163-0016,AQS
9/8/00,65,,Allen Park,26-163-0001,AQS
9/9/00,91,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
9/10/00,54,,Allen Park,26-163-0001,AQS
9/11/00,55,,Allen Park,26-163-0001,AQS
9/12/00,48,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
9/13/00,35,,Allen Park,26-163-0001,AQS
9/14/00,53,,,26-163-0016,AQS
9/15/00,19,,Southwestern H.S.,26-163-0015,AQS
9/16/00,14,,Allen Park,26-163-0001,AQS
9/17/00,40,,Allen Park,26-163-0001,AQS
9/18/00,69,,Southwestern H.S.,26-163-0015,AQS
9/19/00,78,,,26-163-0016,AQS
9/20/00,74,,,26-163-0016,AQS
