Date,Carbon Monoxide AQI Value,Main Pollutant,Site Name,Site ID,Source
1/1/12,5,,Eliza Downwind,26-163-0094,AQS
1/2/12,5,,Eliza Downwind,26-163-0094,AQS
1/3/12,6,,Eliza Downwind,26-163-0094,AQS
1/4/12,8,,ELIZA-NR,26-163-0093,AQS
1/5/12,9,,ELIZA-NR,26-163-0093,AQS
1/6/12,7,,Eliza Downwind,26-163-0094,AQS
1/7/12,7,,Eliza Downwind,26-163-0094,AQS
1/8/12,8,,Eliza Downwind,26-163-0094,AQS
1/9/12,11,,Eliza Downwind,26-163-0094,AQS
1/10/12,10,,ELIZA-NR,26-163-0093,AQS
1/11/12,14,,ELIZA-NR,26-163-0093,AQS
1/12/12,9,,ELIZA-NR,26-163-0093,AQS
1/13/12,7,,Eliza Downwind,26-163-0094,AQS
1/14/12,7,,Eliza Downwind,26-163-0094,AQS
1/15/12,7,,Eliza Downwind,26-163-0094,AQS
1/16/12,8,,Eliza Downwind,26-163-0094,AQS
1/17/12,9,,Eliza Downwind,26-163-0094,AQS
1/18/12,7,,Eliza Downwind,26-163-0094,AQS
1/19/12,7,,Eliza Downwind,26-163-0094,AQS
1/20/12,10,,ELIZA-NR,26-163-0093,AQS
1/21/12,13,,ELIZA-NR,26-163-0093,AQS
1/22/12,19,,Eliza Downwind,26-163-0094,AQS
1/23/12,10,,Eliza Downwind,26-163-0094,AQS
1/24/12,8,,Eliza Downwind,26-163-0094,AQS
1/25/12,10,,Eliza Downwind,26-163-0094,AQS
1/26/12,10,,Eliza Downwind,26-163-0094,AQS
1/27/12,11,,Eliza Downwind,26-163-0094,AQS
1/28/12,13,,Eliza Downwind,26-163-0094,AQS
1/29/12,9,,Eliza Downwind,26-163-0094,AQS
1/30/12,13,,Eliza Downwind,26-163-0094,AQS
1/31/12,13,,Eliza Downwind,26-163-0094,AQS
2/1/12,8,,Eliza Downwind,26-163-0094,AQS
2/2/12,13,,Eliza Downwind,26-163-0094,AQS
2/3/12,25,,Eliza Downwind,26-163-0094,AQS
2/4/12,9,,ELIZA-NR,26-163-0093,AQS
2/5/12,16,,ELIZA-NR,26-163-0093,AQS
2/6/12,8,,ELIZA-NR,26-163-0093,AQS
2/7/12,3,,Allen Park,26-163-0001,AQS
2/8/12,5,,Allen Park,26-163-0001,AQS
2/9/12,6,,Eliza Downwind,26-163-0094,AQS
2/10/12,5,,Eliza Downwind,26-163-0094,AQS
2/11/12,3,,Allen Park,26-163-0001,AQS
2/12/12,5,,Eliza Downwind,26-163-0094,AQS
2/13/12,7,,ELIZA-NR,26-163-0093,AQS
2/14/12,9,,ELIZA-NR,26-163-0093,AQS
2/15/12,8,,ELIZA-NR,26-163-0093,AQS
2/16/12,10,,ELIZA-NR,26-163-0093,AQS
2/17/12,8,,ELIZA-NR,26-163-0093,AQS
2/18/12,7,,ELIZA-NR,26-163-0093,AQS
2/19/12,6,,Eliza Downwind,26-163-0094,AQS
2/20/12,10,,ELIZA-NR,26-163-0093,AQS
2/21/12,8,,Eliza Downwind,26-163-0094,AQS
2/22/12,8,,ELIZA-NR,26-163-0093,AQS
2/23/12,8,,ELIZA-NR,26-163-0093,AQS
2/24/12,7,,Eliza Downwind,26-163-0094,AQS
2/25/12,6,,Eliza Downwind,26-163-0094,AQS
2/26/12,8,,Eliza Downwind,26-163-0094,AQS
2/27/12,8,,Eliza Downwind,26-163-0094,AQS
2/28/12,10,,Eliza Downwind,26-163-0094,AQS
2/29/12,10,,Eliza Downwind,26-163-0094,AQS
3/1/12,8,,ELIZA-NR,26-163-0093,AQS
3/2/12,9,,Eliza Downwind,26-163-0094,AQS
3/3/12,6,,ELIZA-NR,26-163-0093,AQS
3/4/12,5,,ELIZA-NR,26-163-0093,AQS
3/5/12,8,,Eliza Downwind,26-163-0094,AQS
3/6/12,8,,Eliza Downwind,26-163-0094,AQS
3/7/12,7,,Eliza Downwind,26-163-0094,AQS
3/8/12,7,,Eliza Downwind,26-163-0094,AQS
3/9/12,8,,Eliza Downwind,26-163-0094,AQS
3/10/12,8,,Eliza Downwind,26-163-0094,AQS
3/11/12,10,,Eliza Downwind,26-163-0094,AQS
3/12/12,13,,Eliza Downwind,26-163-0094,AQS
3/13/12,9,,Eliza Downwind,26-163-0094,AQS
3/14/12,14,,Eliza Downwind,26-163-0094,AQS
3/15/12,13,,Eliza Downwind,26-163-0094,AQS
3/16/12,10,,Eliza Downwind,26-163-0094,AQS
3/17/12,11,,Eliza Downwind,26-163-0094,AQS
3/18/12,11,,Eliza Downwind,26-163-0094,AQS
3/19/12,13,,Eliza Downwind,26-163-0094,AQS
3/20/12,13,,Eliza Downwind,26-163-0094,AQS
3/21/12,13,,Eliza Downwind,26-163-0094,AQS
3/22/12,14,,Eliza Downwind,26-163-0094,AQS
3/23/12,10,,Eliza Downwind,26-163-0094,AQS
3/24/12,10,,Eliza Downwind,26-163-0094,AQS
3/25/12,9,,Eliza Downwind,26-163-0094,AQS
3/26/12,8,,Eliza Downwind,26-163-0094,AQS
3/27/12,10,,Eliza Downwind,26-163-0094,AQS
3/28/12,9,,Eliza Downwind,26-163-0094,AQS
3/29/12,8,,Eliza Downwind,26-163-0094,AQS
3/30/12,10,,Eliza Downwind,26-163-0094,AQS
3/31/12,9,,ELIZA-NR,26-163-0093,AQS
4/1/12,9,,ELIZA-NR,26-163-0093,AQS
4/2/12,7,,ELIZA-NR,26-163-0093,AQS
4/3/12,9,,ELIZA-NR,26-163-0093,AQS
4/4/12,8,,ELIZA-NR,26-163-0093,AQS
4/5/12,3,,Allen Park,26-163-0001,AQS
4/6/12,6,,ELIZA-NR,26-163-0093,AQS
4/7/12,11,,ELIZA-NR,26-163-0093,AQS
4/8/12,8,,ELIZA-NR,26-163-0093,AQS
4/9/12,5,,ELIZA-NR,26-163-0093,AQS
4/10/12,3,,ELIZA-NR,26-163-0093,AQS
4/11/12,6,,ELIZA-NR,26-163-0093,AQS
4/12/12,11,,ELIZA-NR,26-163-0093,AQS
4/13/12,9,,ELIZA-NR,26-163-0093,AQS
4/14/12,7,,ELIZA-NR,26-163-0093,AQS
4/15/12,8,,ELIZA-NR,26-163-0093,AQS
4/16/12,6,,ELIZA-NR,26-163-0093,AQS
4/17/12,5,,ELIZA-NR,26-163-0093,AQS
4/18/12,7,,ELIZA-NR,26-163-0093,AQS
4/19/12,8,,ELIZA-NR,26-163-0093,AQS
4/20/12,8,,ELIZA-NR,26-163-0093,AQS
4/21/12,5,,West corner,26-163-1006,AQS
4/22/12,7,,West corner,26-163-1006,AQS
4/23/12,8,,West corner,26-163-1006,AQS
4/24/12,2,,Allen Park,26-163-0001,AQS
4/25/12,7,,ELIZA-NR,26-163-0093,AQS
4/26/12,7,,ELIZA-NR,26-163-0093,AQS
4/27/12,5,,ELIZA-NR,26-163-0093,AQS
4/28/12,6,,ELIZA-NR,26-163-0093,AQS
4/29/12,7,,ELIZA-NR,26-163-0093,AQS
4/30/12,10,,ELIZA-NR,26-163-0093,AQS
5/1/12,9,,ELIZA-NR,26-163-0093,AQS
5/2/12,11,,ELIZA-NR,26-163-0093,AQS
5/3/12,14,,ELIZA-NR,26-163-0093,AQS
5/4/12,10,,ELIZA-NR,26-163-0093,AQS
5/5/12,5,,ELIZA-NR,26-163-0093,AQS
5/6/12,6,,ELIZA-NR,26-163-0093,AQS
5/7/12,11,,ELIZA-NR,26-163-0093,AQS
5/8/12,9,,ELIZA-NR,26-163-0093,AQS
5/9/12,7,,ELIZA-NR,26-163-0093,AQS
5/10/12,6,,ELIZA-NR,26-163-0093,AQS
5/11/12,8,,ELIZA-NR,26-163-0093,AQS
5/12/12,9,,ELIZA-NR,26-163-0093,AQS
5/13/12,8,,ELIZA-NR,26-163-0093,AQS
5/14/12,8,,ELIZA-NR,26-163-0093,AQS
5/15/12,10,,ELIZA-NR,26-163-0093,AQS
5/16/12,7,,ELIZA-NR,26-163-0093,AQS
5/17/12,7,,ELIZA-NR,26-163-0093,AQS
5/18/12,10,,ELIZA-NR,26-163-0093,AQS
5/19/12,10,,ELIZA-NR,26-163-0093,AQS
5/20/12,11,,ELIZA-NR,26-163-0093,AQS
5/21/12,7,,ELIZA-NR,26-163-0093,AQS
5/22/12,5,,ELIZA-NR,26-163-0093,AQS
5/23/12,9,,ELIZA-NR,26-163-0093,AQS
5/24/12,8,,ELIZA-NR,26-163-0093,AQS
5/25/12,8,,ELIZA-NR,26-163-0093,AQS
5/26/12,8,,ELIZA-NR,26-163-0093,AQS
5/27/12,7,,ELIZA-NR,26-163-0093,AQS
5/28/12,8,,ELIZA-NR,26-163-0093,AQS
5/29/12,8,,ELIZA-NR,26-163-0093,AQS
5/30/12,5,,ELIZA-NR,26-163-0093,AQS
5/31/12,5,,ELIZA-NR,26-163-0093,AQS
6/1/12,8,,ELIZA-NR,26-163-0093,AQS
6/2/12,6,,ELIZA-NR,26-163-0093,AQS
6/3/12,5,,ELIZA-NR,26-163-0093,AQS
6/4/12,6,,ELIZA-NR,26-163-0093,AQS
6/5/12,5,,ELIZA-NR,26-163-0093,AQS
6/6/12,7,,ELIZA-NR,26-163-0093,AQS
6/7/12,6,,ELIZA-NR,26-163-0093,AQS
6/8/12,7,,ELIZA-NR,26-163-0093,AQS
6/9/12,9,,ELIZA-NR,26-163-0093,AQS
