Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
1/1/13,34,,92 FEET FROM WHE STREET,26-163-0036,AQS
1/2/13,61,,FIA/Lafayette,26-163-0039,AQS
1/3/13,88,,FIA/Lafayette,26-163-0039,AQS
1/4/13,68,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
1/5/13,86,,FIA/Lafayette,26-163-0039,AQS
1/6/13,71,,FIA/Lafayette,26-163-0039,AQS
1/7/13,65,,FIA/Lafayette,26-163-0039,AQS
1/8/13,102,,FIA/Lafayette,26-163-0039,AQS
1/9/13,59,,FIA/Lafayette,26-163-0039,AQS
1/10/13,60,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
1/11/13,40,,Allen Park,26-163-0001,AQS
1/12/13,49,,FIA/Lafayette,26-163-0039,AQS
1/13/13,25,,Allen Park,26-163-0001,AQS
1/14/13,38,,Allen Park,26-163-0001,AQS
1/15/13,59,,FIA/Lafayette,26-163-0039,AQS
1/16/13,64,,Southwestern H.S.,26-163-0015,AQS
1/17/13,33,,Allen Park,26-163-0001,AQS
1/18/13,53,,Allen Park,26-163-0001,AQS
1/19/13,55,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
1/20/13,23,,FIA/Lafayette,26-163-0039,AQS
1/21/13,41,,Allen Park,26-163-0001,AQS
1/22/13,58,,Allen Park,26-163-0001,AQS
1/23/13,57,,Allen Park,26-163-0001,AQS
1/24/13,31,,Allen Park,26-163-0001,AQS
1/25/13,57,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
1/26/13,67,,FIA/Lafayette,26-163-0039,AQS
1/27/13,74,,FIA/Lafayette,26-163-0039,AQS
1/28/13,68,,Southwestern H.S.,26-163-0015,AQS
1/29/13,60,,FIA/Lafayette,26-163-0039,AQS
1/30/13,30,,FIA/Lafayette,26-163-0039,AQS
1/31/13,30,,Allen Park,26-163-0001,AQS
2/1/13,31,,Allen Park,26-163-0001,AQS
2/2/13,53,,FIA/Lafayette,26-163-0039,AQS
2/3/13,53,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
2/4/13,67,,SCHOOLCRAFT COLLEGE,26-163-0025,AQS
2/5/13,71,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
2/6/13,54,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
2/7/13,59,,FIA/Lafayette,26-163-0039,AQS
2/8/13,44,,FIA/Lafayette,26-163-0039,AQS
2/9/13,44,,SCHOOLCRAFT COLLEGE,26-163-0025,AQS
2/10/13,60,,FIA/Lafayette,26-163-0039,AQS
2/11/13,38,,FIA/Lafayette,26-163-0039,AQS
2/12/13,37,,Allen Park,26-163-0001,AQS
2/13/13,59,,FIA/Lafayette,26-163-0039,AQS
2/14/13,73,,FIA/Lafayette,26-163-0039,AQS
2/15/13,25,,Southwestern H.S.,26-163-0015,AQS
2/16/13,33,,Allen Park,26-163-0001,AQS
2/17/13,30,,Allen Park,26-163-0001,AQS
2/18/13,48,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
2/19/13,34,,Allen Park,26-163-0001,AQS
2/20/13,23,,Allen Park,26-163-0001,AQS
2/21/13,26,,Allen Park,26-163-0001,AQS
2/22/13,40,,FIA/Lafayette,26-163-0039,AQS
2/23/13,53,,FIA/Lafayette,26-163-0039,AQS
2/24/13,59,,Allen Park,26-163-0001,AQS
2/25/13,69,,FIA/Lafayette,26-163-0039,AQS
2/26/13,47,,FIA/Lafayette,26-163-0039,AQS
2/27/13,49,,Port Huron,26-147-0005,AQS
2/28/13,23,,Allen Park,26-163-0001,AQS
3/1/13,22,,Allen Park,26-163-0001,AQS
3/2/13,19,,Allen Park,26-163-0001,AQS
3/3/13,27,,Allen Park,26-163-0001,AQS
3/4/13,39,,Allen Park,26-163-0001,AQS
3/5/13,42,,New Haven,26-099-0009,AQS
3/6/13,52,,Allen Park,26-163-0001,AQS
3/7/13,53,,FIA/Lafayette,26-163-0039,AQS
3/8/13,48,,Allen Park,26-163-0001,AQS
3/9/13,54,,FIA/Lafayette,26-163-0039,AQS
3/10/13,62,,Allen Park,26-163-0001,AQS
3/11/13,58,,Southwestern H.S.,26-163-0015,AQS
3/12/13,35,,FIA/Lafayette,26-163-0039,AQS
3/13/13,32,,FIA/Lafayette,26-163-0039,AQS
3/14/13,31,,FIA/Lafayette,26-163-0039,AQS
3/15/13,67,,FIA/Lafayette,26-163-0039,AQS
3/16/13,33,,FIA/Lafayette,26-163-0039,AQS
3/17/13,27,,Port Huron,26-147-0005,AQS
3/18/13,30,,FIA/Lafayette,26-163-0039,AQS
3/19/13,44,,FIA/Lafayette,26-163-0039,AQS
3/20/13,31,,FIA/Lafayette,26-163-0039,AQS
3/21/13,28,,Allen Park,26-163-0001,AQS
3/22/13,38,,Allen Park,26-163-0001,AQS
3/23/13,39,,92 FEET FROM WHE STREET,26-163-0036,AQS
3/24/13,30,,FIA/Lafayette,26-163-0039,AQS
3/25/13,25,,Allen Park,26-163-0001,AQS
3/26/13,22,,Allen Park,26-163-0001,AQS
3/27/13,21,,Allen Park,26-163-0001,AQS
3/28/13,27,,Allen Park,26-163-0001,AQS
3/29/13,46,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
3/30/13,61,,FIA/Lafayette,26-163-0039,AQS
3/31/13,62,,FIA/Lafayette,26-163-0039,AQS
4/1/13,23,,Allen Park,26-163-0001,AQS
4/2/13,30,,Allen Park,26-163-0001,AQS
4/3/13,31,,Allen Park,26-163-0001,AQS
4/4/13,56,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
4/5/13,46,,Allen Park,26-163-0001,AQS
4/6/13,22,,FIA/Lafayette,26-163-0039,AQS
4/7/13,55,,Southwestern H.S.,26-163-0015,AQS
4/8/13,54,,FIA/Lafayette,26-163-0039,AQS
4/9/13,61,,Allen Park,26-163-0001,AQS
4/10/13,40,,Allen Park,26-163-0001,AQS
4/11/13,23,,Allen Park,26-163-0001,AQS
4/12/13,25,,FIA/Lafayette,26-163-0039,AQS
4/13/13,28,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
4/14/13,39,,FIA/Lafayette,26-163-0039,AQS
4/15/13,39,,FIA/Lafayette,26-163-0039,AQS
4/16/13,31,,Southwestern H.S.,26-163-0015,AQS
4/17/13,20,,FIA/Lafayette,26-163-0039,AQS
4/18/13,38,,FIA/Lafayette,26-163-0039,AQS
4/19/13,27,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
4/20/13,30,,Allen Park,26-163-0001,AQS
4/21/13,31,,Allen Park,26-163-0001,AQS
4/22/13,49,,Port Huron,26-147-0005,AQS
4/23/13,46,,FIA/Lafayette,26-163-0039,AQS
4/24/13,21,,Allen Park,26-163-0001,AQS
4/25/13,43,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
4/26/13,43,,Allen Park,26-163-0001,AQS
4/27/13,49,,SCHOOLCRAFT COLLEGE,26-163-0025,AQS
4/28/13,54,,Southwestern H.S.,26-163-0015,AQS
4/29/13,39,,Allen Park,26-163-0001,AQS
4/30/13,61,,FIA/Lafayette,26-163-0039,AQS
5/1/13,78,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
5/2/13,27,,Allen Park,26-163-0001,AQS
5/3/13,32,,Allen Park,26-163-0001,AQS
5/4/13,48,,Southwestern H.S.,26-163-0015,AQS
5/5/13,29,,Allen Park,26-163-0001,AQS
5/6/13,35,,Allen Park,26-163-0001,AQS
5/7/13,42,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
5/8/13,50,,Allen Park,26-163-0001,AQS
5/9/13,55,,FIA/Lafayette,26-163-0039,AQS
5/10/13,47,,Southwestern H.S.,26-163-0015,AQS
5/11/13,20,,Allen Park,26-163-0001,AQS
5/12/13,17,,Allen Park,26-163-0001,AQS
5/13/13,30,,FIA/Lafayette,26-163-0039,AQS
5/14/13,43,,Allen Park,26-163-0001,AQS
5/15/13,49,,Allen Park,26-163-0001,AQS
5/16/13,53,,Southwestern H.S.,26-163-0015,AQS
5/17/13,30,,Allen Park,26-163-0001,AQS
5/18/13,36,,Allen Park,26-163-0001,AQS
5/19/13,57,,SCHOOLCRAFT COLLEGE,26-163-0025,AQS
5/20/13,66,,FIA/Lafayette,26-163-0039,AQS
5/21/13,53,,Allen Park,26-163-0001,AQS
5/22/13,53,,Southwestern H.S.,26-163-0015,AQS
5/23/13,35,,FIA/Lafayette,26-163-0039,AQS
5/24/13,20,,Allen Park,26-163-0001,AQS
5/25/13,28,,Allen Park,26-163-0001,AQS
5/26/13,36,,Allen Park,26-163-0001,AQS
5/27/13,29,,Allen Park,26-163-0001,AQS
5/28/13,62,,SCHOOLCRAFT COLLEGE,26-163-0025,AQS
5/29/13,51,,Allen Park,26-163-0001,AQS
5/30/13,59,,FIA/Lafayette,26-163-0039,AQS
5/31/13,65,,Southwestern H.S.,26-163-0015,AQS
6/1/13,47,,Allen Park,26-163-0001,AQS
6/2/13,20,,Allen Park,26-163-0001,AQS
6/3/13,30,,Allen Park,26-163-0001,AQS
6/4/13,38,,Allen Park,26-163-0001,AQS
6/5/13,35,,Allen Park,26-163-0001,AQS
6/6/13,53,,Allen Park,26-163-0001,AQS
6/7/13,25,,Allen Park,26-163-0001,AQS
6/8/13,43,,Allen Park,26-163-0001,AQS
6/9/13,60,,Southwestern H.S.,26-163-0015,AQS
6/10/13,43,,Allen Park,26-163-0001,AQS
6/11/13,56,,Allen Park,26-163-0001,AQS
6/12/13,70,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
6/13/13,51,,FIA/Lafayette,26-163-0039,AQS
6/14/13,55,,FIA/Lafayette,26-163-0039,AQS
6/15/13,73,,Southwestern H.S.,26-163-0015,AQS
6/16/13,39,,FIA/Lafayette,26-163-0039,AQS
6/17/13,38,,Allen Park,26-163-0001,AQS
6/18/13,27,,Allen Park,26-163-0001,AQS
6/19/13,40,,Allen Park,26-163-0001,AQS
6/20/13,51,,Allen Park,26-163-0001,AQS
6/21/13,70,,Southwestern H.S.,26-163-0015,AQS
6/22/13,66,,FIA/Lafayette,26-163-0039,AQS
6/23/13,62,,FIA/Lafayette,26-163-0039,AQS
6/24/13,69,,FIA/Lafayette,26-163-0039,AQS
6/25/13,58,,Allen Park,26-163-0001,AQS
6/26/13,51,,FIA/Lafayette,26-163-0039,AQS
6/27/13,54,,Port Huron,26-147-0005,AQS
6/28/13,30,,FIA/Lafayette,26-163-0039,AQS
6/29/13,32,,Allen Park,26-163-0001,AQS
6/30/13,40,,Allen Park,26-163-0001,AQS
7/1/13,56,,Allen Park,26-163-0001,AQS
7/2/13,54,,Allen Park,26-163-0001,AQS
7/3/13,70,,Southwestern H.S.,26-163-0015,AQS
7/4/13,78,,Allen Park,26-163-0001,AQS
7/5/13,57,,FIA/Lafayette,26-163-0039,AQS
7/6/13,57,,Port Huron,26-147-0005,AQS
7/7/13,49,,Allen Park,26-163-0001,AQS
7/8/13,56,,FIA/Lafayette,26-163-0039,AQS
7/9/13,57,,FIA/Lafayette,26-163-0039,AQS
7/10/13,53,,Allen Park,26-163-0001,AQS
7/11/13,40,,Allen Park,26-163-0001,AQS
7/12/13,42,,Allen Park,26-163-0001,AQS
7/13/13,37,,Allen Park,26-163-0001,AQS
7/14/13,54,,Allen Park,26-163-0001,AQS
7/15/13,63,,Southwestern H.S.,26-163-0015,AQS
7/16/13,71,,FIA/Lafayette,26-163-0039,AQS
7/17/13,69,,FIA/Lafayette,26-163-0039,AQS
7/18/13,61,,Southwestern H.S.,26-163-0015,AQS
7/19/13,62,,FIA/Lafayette,26-163-0039,AQS
7/20/13,41,,FIA/Lafayette,26-163-0039,AQS
7/21/13,51,,Allen Park,26-163-0001,AQS
7/22/13,49,,Allen Park,26-163-0001,AQS
7/23/13,51,,FIA/Lafayette,26-163-0039,AQS
7/24/13,21,,Allen Park,26-163-0001,AQS
7/25/13,43,,Allen Park,26-163-0001,AQS
7/26/13,59,,FIA/Lafayette,26-163-0039,AQS
7/27/13,57,,Southwestern H.S.,26-163-0015,AQS
7/28/13,23,,Allen Park,26-163-0001,AQS
7/29/13,30,,Allen Park,26-163-0001,AQS
7/30/13,54,,Allen Park,26-163-0001,AQS
7/31/13,61,,FIA/Lafayette,26-163-0039,AQS
8/1/13,51,,Allen Park,26-163-0001,AQS
8/2/13,56,,Southwestern H.S.,26-163-0015,AQS
8/3/13,42,,FIA/Lafayette,26-163-0039,AQS
8/4/13,23,,Allen Park,26-163-0001,AQS
8/5/13,35,,SCHOOLCRAFT COLLEGE,26-163-0025,AQS
8/6/13,55,,FIA/Lafayette,26-163-0039,AQS
8/7/13,55,,Allen Park,26-163-0001,AQS
