Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
01/01/2013,34,,92 FEET FROM WHE STREET,26-163-0036,AQS
01/02/2013,61,,FIA/Lafayette,26-163-0039,AQS
01/03/2013,88,,FIA/Lafayette,26-163-0039,AQS
01/04/2013,68,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
01/05/2013,86,,FIA/Lafayette,26-163-0039,AQS
01/06/2013,71,,FIA/Lafayette,26-163-0039,AQS
01/07/2013,65,,FIA/Lafayette,26-163-0039,AQS
01/08/2013,102,,FIA/Lafayette,26-163-0039,AQS
01/09/2013,59,,FIA/Lafayette,26-163-0039,AQS
01/10/2013,60,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
01/11/2013,40,,Allen Park,26-163-0001,AQS
01/12/2013,49,,FIA/Lafayette,26-163-0039,AQS
01/13/2013,25,,Allen Park,26-163-0001,AQS
01/14/2013,38,,Allen Park,26-163-0001,AQS
01/15/2013,59,,FIA/Lafayette,26-163-0039,AQS
01/16/2013,64,,Southwestern H.S.,26-163-0015,AQS
01/17/2013,33,,Allen Park,26-163-0001,AQS
01/18/2013,53,,Allen Park,26-163-0001,AQS
01/19/2013,55,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
01/20/2013,23,,FIA/Lafayette,26-163-0039,AQS
01/21/2013,41,,Allen Park,26-163-0001,AQS
01/22/2013,58,,Allen Park,26-163-0001,AQS
01/23/2013,57,,Allen Park,26-163-0001,AQS
01/24/2013,31,,Allen Park,26-163-0001,AQS
01/25/2013,57,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
01/26/2013,67,,FIA/Lafayette,26-163-0039,AQS
01/27/2013,74,,FIA/Lafayette,26-163-0039,AQS
01/28/2013,68,,Southwestern H.S.,26-163-0015,AQS
01/29/2013,60,,FIA/Lafayette,26-163-0039,AQS
01/30/2013,30,,FIA/Lafayette,26-163-0039,AQS
01/31/2013,30,,Allen Park,26-163-0001,AQS
02/01/2013,31,,Allen Park,26-163-0001,AQS
02/02/2013,53,,FIA/Lafayette,26-163-0039,AQS
02/03/2013,53,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
02/04/2013,67,,SCHOOLCRAFT COLLEGE,26-163-0025,AQS
02/05/2013,71,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
02/06/2013,54,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
02/07/2013,59,,FIA/Lafayette,26-163-0039,AQS
02/08/2013,44,,FIA/Lafayette,26-163-0039,AQS
02/09/2013,44,,SCHOOLCRAFT COLLEGE,26-163-0025,AQS
02/10/2013,60,,FIA/Lafayette,26-163-0039,AQS
02/11/2013,38,,FIA/Lafayette,26-163-0039,AQS
