Entity,Code,Year,Low physical activity,Non-exclusive breastfeeding,Air pollution(outdoor&indoor),Child wasting,High systolic blood pressure,High fasting plasma glucose, Child stunting, High body-mass index,Secondhand smoke,Unsafe sanitation,Unsafe water source,Diet low in vegetables, Diet low in fruits , Diet high in sodium,Drug use,indoor air pollution,High LDL cholesterol, Iron deficiency,Zinc deficiency , Smoking ,Vitamin A deficiency,Outdoor particulate matter pollution
United States,USA,1990,759996.4876,20986.62858,2462860.587,123426.1391,9350600.907,6138789.219,3549.505012,7008661.776,1245642.36,27144.95697,26521.04065,451183.5933,950697.1017,631577.7149,2031172.943,9207.881915,6588947.901,169148.4734,77.64476186,13932420.46,583.3644456,2310449.91
United States,USA,1991,775345.1933,20281.70725,2428221.662,124100.2427,9250438.692,5899268.538,3378.2293,7061757.785,1229525.734,27026.2991,26770.86323,438911.1454,930818.0297,629877.0522,2137673.823,8833.611551,6348009.96,168630.4249,73.3711181,13819775.82,577.4207115,2278451.441
United States,USA,1992,793913.2323,19263.16273,2391705.95,124111.435,9140344.405,5694886.854,3147.651549,7115160.11,1211060.579,26389.49101,26695.72309,426953.5754,910645.2828,630164.0607,2248375.404,8445.881697,6097322.462,167526.5399,68.94409384,13690395.12,572.9876787,2240839.925
United States,USA,1993,832011.7481,18703.99721,2410470.52,126130.5406,9238110.293,5650621.216,2997.484756,7304130.438,1217740.83,25857.45775,26657.93425,428368.4688,911817.603,647354.0071,2376527.194,8317.933094,6012413.933,166212.9757,64.26000307,13808287.51,567.8830615,2253498.711
United States,USA,1994,853279.3203,17997.93563,2402038.676,127320.1525,9197670.985,5594787.833,2838.144454,7426870.025,1205876.531,25330.97642,26580.29989,423755.0929,900075.5724,656580.6855,2488769.628,8063.693549,5833527.892,164954.7216,59.33207654,13754404.21,563.267777,2231003.587
United States,USA,1995,869307.1561,17122.27672,2399225.982,128404.8315,9210812.881,5638701.198,2622.112544,7594581.408,1199560.052,24854.60189,26516.26014,423159.6768,894229.7979,670455.725,2566122.388,7927.925947,5703570.68,163438.8599,54.28012361,13769242.44,555.3104268,2221338.439
United States,USA,1996,868131.9262,16578.32129,2365270.245,130284.6568,9121820.657,5687060.152,2482.661699,7705903.392,1176284.603,24426.45552,26443.43051,420454.9649,876494.5043,680968.4873,2542365.923,7789.932507,5504851.437,161125.5421,49.35231123,13624016.21,544.2004083,2184760.252
United States,USA,1997,867496.2652,16338.43076,2339468.52,133378.0343,9045377.931,5773043.641,2390.617741,7837721.528,1153432.13,23987.26833,26328.57514,421665.1035,858587.9015,698960.7283,2520594.266,7671.500314,5325284.092,156945.2915,44.6277047,13501786.05,529.8192278,2147954.148
United States,USA,1998,873376.4041,16212.81973,2330893.677,137103.4389,9034417.19,5924422.286,2319.068037,8012912.761,1135318.812,23611.06274,26249.38434,427738.0946,846185.1023,724772.7055,2592561.694,7613.63206,5197500.548,151868.3519,40.43329963,13474033.15,508.9215133,2122926.077
United States,USA,1999,886900.0313,15542.20535,2328979.227,141076.2955,9086561.552,6133368.079,2183.18702,8252862.222,1123999.283,23579.82605,26564.31615,440191.1575,843638.5219,755905.3112,2730275.962,7588.685875,5141223.926,148229.4087,37.14513041,13531090.15,489.3482958,2112255.236
