Entity,Code,Year,Deaths - Cause: All causes - Risk: Household air pollution from solid fuels - Sex: Both - Age: Age-standardized (Rate),Deaths - Cause: All causes - Risk: Ambient particulate matter pollution - Sex: Both - Age: Age-standardized (Rate),Deaths - Cause: All causes - Risk: Air pollution - Sex: Both - Age: Age-standardized (Rate),Deaths - Cause: All causes - Risk: Ambient ozone pollution - Sex: Both - Age: Age-standardized (Rate)
United States,USA,1990,0.113357408,29.56043472,32.07216306,2.636470931
United States,USA,1991,0.107610991,28.83216916,31.27291643,2.562869192
United States,USA,1992,0.101671002,28.03492303,30.4715543,2.563443721
United States,USA,1993,0.099394268,27.96183309,30.47485726,2.646969833
United States,USA,1994,0.095366002,27.42194021,30.14578941,2.879710689
United States,USA,1995,0.092606574,26.97965805,29.79070806,2.974101317
United States,USA,1996,0.089735212,26.1806548,29.01432249,2.998499937
United States,USA,1997,0.086863924,25.3157034,28.3020377,3.162095875
United States,USA,1998,0.084753274,24.62178263,27.84041751,3.410984087
United States,USA,1999,0.083260806,24.15267272,27.48451821,3.528961559
United States,USA,2000,0.08059931,23.37564802,26.61078262,3.420801992
United States,USA,2001,0.077279096,22.58259109,25.78480713,3.382896638
United States,USA,2002,0.073969946,21.758321,24.97126778,3.390454784
United States,USA,2003,0.069813175,20.71919998,23.75441068,3.196694567
United States,USA,2004,0.064707582,19.38405012,22.34355771,3.11373692
United States,USA,2005,0.061343405,18.49912879,21.53898994,3.197410663
United States,USA,2006,0.057263227,17.31691845,20.49265477,3.338894985
United States,USA,2007,0.052913456,15.9570033,18.98749822,3.176571339
United States,USA,2008,0.049235455,14.8043217,17.60571613,2.924928767
United States,USA,2009,0.045427999,13.60611038,16.25648646,2.758360995
United States,USA,2010,0.04189857,12.57095518,15.18003579,2.710907822
United States,USA,2011,0.039487424,11.93234364,14.75814458,2.935782502
United States,USA,2012,0.037004206,11.277427,13.97598636,2.798086143
United States,USA,2013,0.034655847,10.69071026,13.23604608,2.633749253
United States,USA,2014,0.032701327,10.14989628,12.45405569,2.37784576
United States,USA,2015,0.030926163,9.668970617,11.93321376,2.333793513
United States,USA,2016,0.029081096,9.031490808,11.25805812,2.290805299
United States,USA,2017,0.027475051,8.489827188,10.63156964,2.200669981
United States,USA,2018,0.027058935,8.478926356,10.58896957,2.166681465
United States,USA,2019,0.026754245,8.487157077,10.55164436,2.119357738
United States Virgin Islands,VIR,1990,3.598431825,21.63667594,25.42652312,0.205728607
United States Virgin Islands,VIR,1991,3.200599479,21.02984897,24.49518161,0.221522308
United States Virgin Islands,VIR,1992,2.890106108,20.77958693,24.00341805,0.265936806
United States Virgin Islands,VIR,1993,2.636084175,20.69603155,23.64076516,0.239752391
United States Virgin Islands,VIR,1994,2.436460177,20.77219492,23.48385288,0.234051051
United States Virgin Islands,VIR,1995,2.19971346,20.07115963,22.50912261,0.254467491
United States Virgin Islands,VIR,1996,2.045001416,19.71223504,21.95514998,0.258791298
United States Virgin Islands,VIR,1997,1.886749389,18.86439617,20.95268073,0.270412583
United States Virgin Islands,VIR,1998,1.754843549,18.01822372,19.96229628,0.242244606
United States Virgin Islands,VIR,1999,1.658850102,17.50076193,19.36276769,0.233560559
United States Virgin Islands,VIR,2000,1.538132903,16.76890718,18.50406328,0.208375598
United States Virgin Islands,VIR,2001,1.419155236,16.1262349,17.82525093,0.295418869
United States Virgin Islands,VIR,2002,1.283778984,15.18552378,16.75994606,0.319184564
United States Virgin Islands,VIR,2003,1.165223581,14.40317619,15.83852938,0.3095389
United States Virgin Islands,VIR,2004,1.061914814,13.83058127,14.9612871,0.097803554
United States Virgin Islands,VIR,2005,0.972193403,13.48749819,14.49200212,0.033899605
United States Virgin Islands,VIR,2006,0.912600498,13.75738391,14.72134632,0.026354153
United States Virgin Islands,VIR,2007,0.92495508,15.6152554,16.6223172,0.05187164
United States Virgin Islands,VIR,2008,0.853073067,15.81486783,16.76662736,0.080201644
United States Virgin Islands,VIR,2009,0.787752949,15.98633496,16.84907758,0.070428265
United States Virgin Islands,VIR,2010,0.734201254,16.14354835,16.95123933,0.07718125
United States Virgin Islands,VIR,2011,0.687800565,16.31595246,17.09754842,0.09919204
United States Virgin Islands,VIR,2012,0.646685856,16.61391061,17.32889659,0.07203748
United States Virgin Islands,VIR,2013,0.608310648,16.88710538,17.53999867,0.046356816
United States Virgin Islands,VIR,2014,0.57560967,17.14747599,17.7442762,0.021423301
United States Virgin Islands,VIR,2015,0.550758096,17.40790683,17.97950658,0.022015942
United States Virgin Islands,VIR,2016,0.522708752,17.28773273,17.8352593,0.026011898
United States Virgin Islands,VIR,2017,0.505642376,17.41149521,17.92437482,0.007669951
United States Virgin Islands,VIR,2018,0.487944737,17.5788538,18.08568735,0.020741015
United States Virgin Islands,VIR,2019,0.470623893,17.80131483,18.28916896,0.018239056
