Date,PM2.5 AQI Value,Main Pollutant,Site Name,Site ID,Source
01/03/1999,32,,Port Huron,26-147-0005,AQS
01/06/1999,58,,Port Huron,26-147-0005,AQS
01/09/1999,40,,New Haven,26-099-0009,AQS
01/12/1999,66,,Oak Park,26-125-0001,AQS
01/15/1999,71,,Oak Park,26-125-0001,AQS
01/18/1999,45,,New Haven,26-099-0009,AQS
01/21/1999,148,,Oak Park,26-125-0001,AQS
01/27/1999,73,,New Haven,26-099-0009,AQS
01/30/1999,59,,Oak Park,26-125-0001,AQS
02/02/1999,55,,New Haven,26-099-0009,AQS
02/05/1999,64,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
02/07/1999,65,,Oak Park,26-125-0001,AQS
02/08/1999,64,,Port Huron,26-147-0005,AQS
02/11/1999,66,,Port Huron,26-147-0005,AQS
02/14/1999,50,,New Haven,26-099-0009,AQS
02/17/1999,49,,New Haven,26-099-0009,AQS
02/20/1999,30,,92 FEET FROM WHE STREET,26-163-0036,AQS
02/23/1999,59,,92 FEET FROM WHE STREET,26-163-0036,AQS
02/26/1999,137,,Southwestern H.S.,26-163-0015,AQS
03/01/1999,45,,New Haven,26-099-0009,AQS
03/04/1999,32,,Port Huron,26-147-0005,AQS
03/06/1999,27,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
03/07/1999,52,,92 FEET FROM WHE STREET,26-163-0036,AQS
03/10/1999,25,,92 FEET FROM WHE STREET,26-163-0036,AQS
03/13/1999,61,,Southwestern H.S.,26-163-0015,AQS
03/16/1999,86,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
03/19/1999,33,,Southwestern H.S.,26-163-0015,AQS
03/22/1999,40,,New Haven,26-099-0009,AQS
03/25/1999,35,,Southwestern H.S.,26-163-0015,AQS
03/28/1999,92,,Southwestern H.S.,26-163-0015,AQS
03/31/1999,73,,Southwestern H.S.,26-163-0015,AQS
04/03/1999,119,,Southwestern H.S.,26-163-0015,AQS
04/06/1999,55,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
04/09/1999,36,,Southwestern H.S.,26-163-0015,AQS
04/12/1999,32,,Southwestern H.S.,26-163-0015,AQS
04/15/1999,66,,Southwestern H.S.,26-163-0015,AQS
04/18/1999,23,,Southwestern H.S.,26-163-0015,AQS
04/21/1999,62,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
04/24/1999,29,,Southwestern H.S.,26-163-0015,AQS
04/27/1999,41,,Southwestern H.S.,26-163-0015,AQS
04/30/1999,38,,Southwestern H.S.,26-163-0015,AQS
05/02/1999,60,,New Haven,26-099-0009,AQS
05/03/1999,72,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
05/06/1999,69,,PROPERTY OWNED BY DEARBORN PUBLIC SCHOOLS,26-163-0033,AQS
05/09/1999,25,,New Haven,26-099-0009,AQS
05/12/1999,48,,,26-163-0016,AQS
05/13/1999,35,,Allen Park,26-163-0001,AQS
05/14/1999,42,,Allen Park,26-163-0001,AQS
