"Date","Ozone AQI Value","Main Pollutant","Site Name","Site ID","Source"
"04/01/1990","14","","Port Huron","26-147-0005","AQS"
"04/02/1990","28","","","26-163-0016","AQS"
"04/03/1990","28","","New Haven","26-099-0009","AQS"
"04/04/1990","39","","East 7 Mile","26-163-0019","AQS"
"04/05/1990","26","","Port Huron","26-147-0005","AQS"
"04/06/1990","32","","Port Huron","26-147-0005","AQS"
"04/07/1990","36","","Port Huron","26-147-0005","AQS"
"04/08/1990","43","","Port Huron","26-147-0005","AQS"
"04/09/1990","43","","Port Huron","26-147-0005","AQS"
"04/10/1990","33","","Port Huron","26-147-0005","AQS"
"04/11/1990","32","","Port Huron","26-147-0005","AQS"
"04/12/1990","33","","Port Huron","26-147-0005","AQS"
"04/13/1990","37","","Allen Park","26-163-0001","AQS"
"04/14/1990","35","","New Haven","26-099-0009","AQS"
"04/15/1990","38","","New Haven","26-099-0009","AQS"
"04/16/1990","44","","East 7 Mile","26-163-0019","AQS"
"04/17/1990","32","","New Haven","26-099-0009","AQS"
"04/18/1990","44","","Port Huron","26-147-0005","AQS"
"04/19/1990","36","","East 7 Mile","26-163-0019","AQS"
"04/20/1990","24","","Port Huron","26-147-0005","AQS"
"04/21/1990","42","","Allen Park","26-163-0001","AQS"
"04/22/1990","64","","Port Huron","26-147-0005","AQS"
"04/23/1990","100","","New Haven","26-099-0009","AQS"
"04/24/1990","97","","","26-147-0030","AQS"
"04/25/1990","105","","","26-147-0030","AQS"
"04/26/1990","108","","Port Huron","26-147-0005","AQS"
"04/27/1990","122","","East 7 Mile","26-163-0019","AQS"
"04/28/1990","100","","New Haven","26-099-0009","AQS"
"04/29/1990","47","","East 7 Mile","26-163-0019","AQS"
"04/30/1990","87","","","26-147-0030","AQS"
"05/01/1990","48","","Port Huron","26-147-0005","AQS"
"05/02/1990","46","","","26-163-2002","AQS"
"05/03/1990","47","","New Haven","26-099-0009","AQS"
"05/04/1990","43","","New Haven","26-099-0009","AQS"
"05/05/1990","50","","","26-147-0030","AQS"
"05/06/1990","46","","","26-163-0016","AQS"
"05/07/1990","74","","","26-147-0030","AQS"
"05/08/1990","105","","New Haven","26-099-0009","AQS"
"05/09/1990","108","","New Haven","26-099-0009","AQS"
"05/10/1990","41","","","26-147-0030","AQS"
"05/11/1990","47","","","26-147-0030","AQS"
"05/12/1990","37","","New Haven","26-099-0009","AQS"
"05/13/1990","47","","New Haven","26-099-0009","AQS"
"05/14/1990","61","","New Haven","26-099-0009","AQS"
"05/15/1990","48","","","26-147-0030","AQS"
"05/16/1990","33","","","26-147-0030","AQS"
"05/17/1990","40","","","26-147-0030","AQS"
"05/18/1990","35","","New Haven","26-099-0009","AQS"
"05/19/1990","38","","New Haven","26-099-0009","AQS"
"05/20/1990","39","","","26-163-0016","AQS"
"05/21/1990","30","","New Haven","26-099-0009","AQS"
"05/22/1990","34","","East 7 Mile","26-163-0019","AQS"
"05/23/1990","42","","New Haven","26-099-0009","AQS"
"05/24/1990","44","","New Haven","26-099-0009","AQS"
"05/25/1990","64","","New Haven","26-099-0009","AQS"
"05/26/1990","97","","New Haven","26-099-0009","AQS"
"05/27/1990","100","","East 7 Mile","26-163-0019","AQS"
"05/28/1990","74","","New Haven","26-099-0009","AQS"
"05/29/1990","34","","New Haven","26-099-0009","AQS"
"05/30/1990","36","","East 7 Mile","26-163-0019","AQS"
"05/31/1990","84","","New Haven","26-099-0009","AQS"
"06/01/1990","126","","New Haven","26-099-0009","AQS"
"06/02/1990","64","","New Haven","26-099-0009","AQS"
"06/03/1990","42","","New Haven","26-099-0009","AQS"
"06/04/1990","36","","New Haven","26-099-0009","AQS"
"06/05/1990","48","","New Haven","26-099-0009","AQS"
"06/06/1990","49","","East 7 Mile","26-163-0019","AQS"
"06/07/1990","51","","","26-163-2002","AQS"
"06/08/1990","49","","New Haven","26-099-0009","AQS"
"06/09/1990","50","","","26-147-0030","AQS"
"06/10/1990","37","","","26-163-0016","AQS"
"06/11/1990","45","","","26-163-0016","AQS"
"06/12/1990","42","","Allen Park","26-163-0001","AQS"
"06/13/1990","203","","Port Huron","26-147-0005","AQS"
"06/14/1990","87","","","26-147-0030","AQS"
"06/15/1990","46","","","26-163-0016","AQS"
"06/16/1990","71","","Oak Park","26-125-0001","AQS"
"06/17/1990","140","","Port Huron","26-147-0005","AQS"
"06/18/1990","54","","New Haven","26-099-0009","AQS"
"06/19/1990","37","","","26-163-0016","AQS"
"06/20/1990","36","","New Haven","26-099-0009","AQS"
"06/21/1990","49","","","26-147-0030","AQS"
"06/22/1990","41","","","26-147-0030","AQS"
"06/23/1990","24","","","26-147-0030","AQS"
"06/24/1990","36","","New Haven","26-099-0009","AQS"
"06/25/1990","105","","New Haven","26-099-0009","AQS"
"06/26/1990","101","","","26-147-0030","AQS"
"06/27/1990","47","","","26-147-0030","AQS"
"06/28/1990","32","","New Haven","26-099-0009","AQS"
"06/29/1990","97","","","26-147-0030","AQS"
"06/30/1990","74","","","26-147-0030","AQS"
"07/01/1990","32","","Allen Park","26-163-0001","AQS"
"07/02/1990","84","","New Haven","26-099-0009","AQS"
"07/03/1990","166","","Port Huron","26-147-0005","AQS"
"07/04/1990","174","","New Haven","26-099-0009","AQS"
"07/05/1990","58","","New Haven","26-099-0009","AQS"
"07/06/1990","31","","","26-163-0016","AQS"
"07/07/1990","47","","New Haven","26-099-0009","AQS"
"07/08/1990","159","","New Haven","26-099-0009","AQS"
"07/09/1990","101","","East 7 Mile","26-163-0019","AQS"
"07/10/1990","37","","","26-147-0030","AQS"
"07/11/1990","23","","","26-147-0030","AQS"
"07/12/1990","40","","","26-163-0016","AQS"
"07/13/1990","34","","","26-147-0030","AQS"
"07/14/1990","24","","Allen Park","26-163-0001","AQS"
"07/15/1990","61","","New Haven","26-099-0009","AQS"
"07/16/1990","100","","Port Huron","26-147-0005","AQS"
"07/17/1990","151","","","26-147-0030","AQS"
"07/18/1990","122","","","26-147-0030","AQS"
"07/19/1990","90","","New Haven","26-099-0009","AQS"
"07/20/1990","33","","","26-147-0030","AQS"
"07/21/1990","64","","","26-163-0016","AQS"
"07/22/1990","23","","Port Huron","26-147-0005","AQS"
"07/23/1990","50","","","26-147-0030","AQS"
"07/24/1990","49","","","26-147-0030","AQS"
"07/25/1990","133","","WARREN - FIRE STATION 29900 HOOVER AT COMMON","26-099-1003","AQS"
"07/26/1990","90","","Allen Park","26-163-0001","AQS"
"07/27/1990","115","","","26-163-0016","AQS"
"07/28/1990","150","","","26-163-0016","AQS"
"07/29/1990","169","","New Haven","26-099-0009","AQS"
